42313,3.426
84372,2.152
92941,0.74
18477,0.735
83772,2.889
38013,2.378
63926,3.509
86617,0.235
16813,2.68
56240,3.269
22932,3.287
10581,0.047
44152,1.58
10521,1.896
42000,0.28
94659,1.929
35733,3.109
80252,2.487
65177,2.269
93972,0.59
91081,2.686
82658,3.817
83266,1.905
67467,3.147
69122,0.145
44401,3.625
26073,2.1
14765,2.149
86514,3.258
24263,2.107
26127,2.481
84526,2.999
80350,3.316
37763,3.288
18692,0.918
50100,2.034
76337,1.465
92460,1.889
11299,0.209
27797,3.613
78075,0.876
83527,1.278
71891,0.137
37333,3.043
75185,0.973
79445,3.194
46789,1.626
97149,1.122
85905,0.23
25527,3.94
25094,3.266
72109,1.71
63152,3.495
25233,3.249
64800,2.323
57056,3.192
65512,1.021
79322,3.84
82299,2.035
15588,2.989
57273,2.191
18789,3.413
51212,2.588
18969,1.323
45812,2.542
66594,3.828
89175,0.851
76199,3.759
57609,1.558
75594,3.256
87854,1.965
23671,0.574
74838,3.895
26355,0.614
67251,0.033
52954,1.339
99590,1.701
51385,2.48
74702,3.347
97252,3.774
79672,3.354
47299,3.893
95670,2.264
92636,1.617
56770,3.322
48799,1.655
80184,0.993
89407,0.136
45619,3.816
21957,1.937
51877,3.784
72512,1.559
24250,1.176
96529,1.818
77751,0.462
29880,2.769
47809,3.141
13576,0.106
16921,0.715
27251,0.618
14997,3.11
67049,3.223
61942,0.254
59941,2.989
58857,1.704
30184,3.059
73355,1.941
53041,3.312
22957,0.099
83343,2.631
64406,1.855
68623,1.617
64858,2.956
99428,3.978
28763,3.423
96130,0.869
78617,3.914
48580,2.751
38099,3.556
83128,0.379
76526,0.857
92051,1.307
90211,1.824
98940,3.739
37633,0.847
89426,0.209
42733,2.136
59495,2.368
21357,0.919
27653,3.353
16289,2.241
58488,2.748
52202,0.029
10217,2.902
15094,3.162
56423,1.02
29099,2.88
92675,1.561
59674,1.298
56163,0.614
77563,0.235
71876,3.987
97595,3.619
86808,0.914
48559,3.347
60539,0.33
72347,3.897
12244,0.715
70790,0.899
87215,3.536
50828,1.051
89040,2.066
72630,2.51
85593,2.574
65373,0.639
13596,3.207
74512,0.171
17875,0.044
88556,2.168
74239,2.256
23833,3.096
36741,0.879
30605,1.733
60610,0.952
72565,2.959
74337,1.309
51989,2.515
72984,1.952
26253,0.684
37079,1.383
15843,0.839
65194,1.075
81713,3.039
42912,2.6
89813,0.056
37537,0.534
55978,1.176
75736,2.719
96897,2.634
35882,1.05
15858,2.408
95357,3.502
